mou,totmrc,vceovr,datovr,roam,change_mou,change_rev,drop_vce,blck_vce,unan_vce,plcd_dat,recv_vce,custcare,ccrndmou,threeway,mou_cvce,mou_cdat,mou_rvce,owylis_vce,mouowylisv,iwylis_vce,mouiwylisv,mou_peav,mou_pead,opk_vce,mou_opkv,drop_blk,complete,callwait,months,uniqsubs,actvsubs,asl_flag,adjrev,adjmou,avgrev,avg3qty,avg6rev,refurb_new,hnd_price,phones,models,hnd_webcap,lor,dwlltype,adults,income,kid6_10,kid11_15,kid16_17,creditcd,eqpdays,Customer_ID,new_cell_N,new_cell_U,new_cell_Y,prizm_social_one_C,prizm_social_one_R,prizm_social_one_S,prizm_social_one_T,prizm_social_one_U,dualband_N,dualband_T,dualband_Y,marital_A,marital_B,marital_M,marital_S,marital_U,dualband_U
136.75,29.99,0.5,0.0,0.0975,48.25,1.155,2.0,10.33333333,13.33333333,0.0,3.333333333,1.333333333,1.333333333,0.333333333,71.74666667,0.0,5.406666667,1.333333333,0.713333333,0.333333333,0.473333333,54.5,0.0,13.66666667,22.65333333,12.33333333,40.66666667,0.0,7,1,1,0,182.94,958.0,30.49,52,31.0,0,149.9899902,1.0,1.0,0,6.0,0,1.0,3.0,0,0,0,1,216.0,1090001,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
352.75,24.27,8.7,0.585,1.8,-352.75,-35.8475,9.0,0.0,10.0,1.0,31.0,3.666666667,9.0,1.333333333,98.54333333,1.023333333,83.66666667,15.66666667,12.68333333,1.333333333,14.28666667,106.9266667,0.0,43.66666667,75.28333333,9.0,66.33333333,1.333333333,7,1,1,1,305.59,3998.0,50.93,181,51.0,0,99.98999023,2.0,1.0,0,6.0,1,3.0,6.0,0,0,0,0,101.0,1090002,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
241.5,39.99,0.0,0.0,0.0,-86.5,0.8625,2.0,4.666666667,20.66666667,0.0,26.66666667,4.333333333,6.333333333,1.666666667,143.53,0.0,27.37333333,9.666666667,3.76,19.66666667,21.73666667,76.35666667,0.0,36.0,94.54333333,6.666666667,59.33333333,0.333333333,9,2,2,0,219.45,1772.0,31.35,107,31.0,0,129.9899902,1.0,1.0,0,13.0,1,3.0,6.0,0,0,0,1,262.0,1090003,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2297.0,149.99,0.0,0.0,0.0,119.0,0.2475,20.33333333,5.0,329.3333333,0.0,628.0,0.333333333,0.666666667,0.0,769.1366667,0.0,679.02,271.0,167.09,68.66666667,150.6566667,961.7366667,0.0,346.0,486.42,25.33333333,723.0,8.333333333,11,1,1,0,2131.17,18478.0,213.12,1045,278.0,1,79.98999023,2.0,1.0,0,3.0,1,3.0,6.0,0,0,0,1,127.0,1090004,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
542.25,48.9475,28.1,0.195,0.0,195.75,40.015,5.666666667,0.666666667,46.33333333,0.666666667,11.33333333,21.66666667,48.0,0.333333333,343.0666667,0.01,11.24333333,13.0,14.56333333,1.333333333,2.1,205.2166667,0.0,31.0,149.0966667,6.666666667,115.3333333,0.666666667,9,1,1,1,608.66,2601.0,86.95,130,91.0,0,149.9899902,2.0,1.0,0,1.0,0,1.0,6.0,0,0,0,1,37.0,1090005,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
162.75,39.99,0.0,0.39,0.0,-0.75,0.0,4.333333333,0.333333333,14.33333333,1.666666667,20.0,0.0,0.0,0.0,86.97,0.106666667,14.02666667,8.0,5.033333333,0.0,0.0,68.46333333,0.106666667,22.66666667,32.53333333,4.666666667,62.33333333,0.666666667,9,1,1,0,294.23,1400.0,36.78,71,39.0,0,99.98999023,2.0,2.0,0,4.0,1,2.0,7.0,0,0,0,1,194.0,1090006,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
974.25,10.0,0.0,0.0,0.0,-98.25,0.2475,22.33333333,2.333333333,42.0,0.0,143.0,3.333333333,15.33333333,0.0,472.55,0.0,259.69,98.66666667,130.0766667,50.66666667,129.9866667,247.13,0.0,189.3333333,485.11,24.66666667,239.0,5.666666667,11,2,2,0,243.6,9656.0,24.36,337,14.0,0,99.98999023,1.0,1.0,0,2.0,1,1.0,5.0,0,0,0,0,323.0,1090007,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
229.5,44.99,0.0,0.0,0.0,-26.5,0.0,0.666666667,2.333333333,24.0,0.0,37.33333333,1.666666667,10.0,0.0,100.2733333,0.0,72.38333333,9.666666667,6.48,10.0,18.14666667,118.81,0.0,34.33333333,53.84666667,3.0,62.0,0.0,9,1,1,0,282.21,1625.0,35.28,94,35.0,0,129.9899902,1.0,1.0,0,6.0,1,4.0,6.0,0,0,0,1,262.0,1090008,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
639.25,38.335,23.2,0.0,0.0,354.75,8.9025,8.0,10.0,115.3333333,0.0,77.33333333,16.33333333,65.33333333,0.0,605.7933333,0.0,148.0233333,48.66666667,52.20666667,30.33333333,61.61333333,417.8733333,0.0,150.3333333,335.9366667,18.0,272.0,4.666666667,11,1,1,1,553.21,3728.0,79.03,178,71.0,0,149.9899902,2.0,1.0,0,2.0,1,1.0,2.0,0,0,0,0,94.0,1090009,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1021.0,94.99,0.0,0.0,0.0,172.0,-0.495,8.333333333,4.666666667,29.33333333,3.0,99.66666667,0.0,0.0,0.0,535.2366667,9.273333333,213.9633333,25.0,33.05,5.666666667,16.93666667,521.0533333,8.056666667,121.6666667,228.1466667,13.0,246.6666667,1.0,7,1,1,0,877.98,5432.0,146.33,332,146.0,0,199.9899902,1.0,1.0,0,2.0,1,2.0,7.0,0,0,0,1,216.0,1090010,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
