iter	Passed	Remaining
0	43	8693
1	108	10750
2	162	10654
3	194	9532
4	223	8702
5	253	8209
6	277	7647
7	300	7208
8	327	6947
9	353	6722
10	371	6390
11	391	6140
12	413	5949
13	438	5820
14	463	5712
15	492	5661
16	513	5527
17	533	5391
18	552	5259
19	568	5115
20	593	5057
21	613	4961
22	636	4895
23	672	4934
24	701	4911
25	726	4862
26	747	4788
27	776	4769
28	794	4686
29	823	4664
30	846	4615
31	880	4620
32	904	4575
33	923	4507
34	941	4437
35	959	4372
36	976	4303
37	993	4234
38	1012	4180
39	1036	4146
40	1056	4097
41	1072	4035
42	1090	3981
43	1117	3963
44	1137	3916
45	1155	3867
46	1173	3818
47	1200	3800
48	1218	3755
49	1243	3729
50	1266	3699
51	1284	3654
52	1301	3610
53	1329	3594
54	1348	3553
55	1377	3541
56	1395	3500
57	1420	3476
58	1440	3443
59	1473	3438
60	1497	3411
61	1530	3407
62	1557	3387
63	1581	3361
64	1606	3335
65	1629	3308
66	1658	3291
67	1675	3252
68	1691	3210
69	1707	3171
70	1731	3145
71	1753	3117
72	1777	3092
73	1798	3063
74	1819	3032
75	1837	2997
76	1863	2977
77	1883	2945
78	1918	2938
79	1937	2906
80	1967	2890
81	1993	2868
82	2014	2840
83	2032	2806
84	2050	2773
85	2065	2737
86	2085	2708
87	2104	2678
88	2125	2650
89	2152	2630
90	2176	2607
91	2201	2584
92	2223	2558
93	2245	2532
94	2275	2514
95	2298	2490
96	2320	2464
97	2363	2460
98	2393	2441
99	2426	2426
100	2451	2402
101	2484	2387
102	2515	2368
103	2547	2351
104	2575	2330
105	2607	2312
106	2643	2297
107	2670	2274
108	2698	2252
109	2730	2233
110	2758	2211
111	2780	2184
112	2809	2162
113	2828	2134
114	2846	2103
115	2867	2076
116	2892	2051
117	2916	2026
118	2939	2001
119	2958	1972
120	2984	1948
121	3007	1923
122	3035	1900
123	3054	1872
124	3074	1844
125	3092	1816
126	3111	1788
127	3131	1761
128	3152	1734
129	3172	1708
130	3197	1684
131	3219	1658
132	3235	1630
133	3263	1607
134	3283	1581
135	3304	1555
136	3327	1530
137	3346	1503
138	3367	1477
139	3395	1455
140	3425	1433
141	3449	1408
142	3474	1384
143	3493	1358
144	3515	1333
145	3539	1309
146	3560	1283
147	3589	1261
148	3611	1236
149	3638	1212
150	3661	1188
151	3677	1161
152	3700	1136
153	3719	1111
154	3736	1084
155	3756	1059
156	3783	1036
157	3804	1011
158	3830	987
159	3852	963
160	3874	938
161	3899	914
162	3917	889
163	3938	864
164	3958	839
165	3979	814
166	3996	789
167	4016	764
168	4039	741
169	4067	717
170	4090	693
171	4110	669
172	4130	644
173	4150	620
174	4172	596
175	4191	571
176	4208	546
177	4229	522
178	4256	499
179	4286	476
180	4306	452
181	4326	427
182	4353	404
183	4380	380
184	4433	359
185	4470	336
186	4505	313
187	4531	289
188	4551	264
189	4574	240
190	4595	216
191	4638	193
192	4663	169
193	4682	144
194	4713	120
195	4735	96
196	4758	72
197	4781	48
198	4804	24
199	4827	0
